,Date,预测的比特币价格,预测的黄金价格,真实的比特币价格,真实的黄金价格
792,2018/11/12 00:00:00,6401.601551250006,1208.8196166666676,6408.53,1205.55
793,2018/11/13 00:00:00,6399.285738150011,1208.8196166666676,6372.063333,1202.1
794,2018/11/14 00:00:00,6276.826423900012,1199.5844999999993,6176.155,1203.25
795,2018/11/15 00:00:00,5886.274116670006,1211.0520000000015,5756.77,1211.85
796,2018/11/16 00:00:00,5872.523217599989,1209.4830000000009,5596.1925,1222.4
797,2018/11/17 00:00:00,5660.465806159997,1223.980500000001,5558.243333,
798,2018/11/18 00:00:00,5632.777256640002,1221.6844999999996,5572.44,
799,2018/11/19 00:00:00,5480.353575090001,1221.6844999999996,5303.9425,1221.6
800,2018/11/20 00:00:00,4859.701599999994,1221.6844999999996,4671.97,1223.0
801,2018/11/21 00:00:00,4466.308887929994,1227.3010000000013,4491.98,1226.1
802,2018/11/22 00:00:00,4555.386511869994,1224.346500000001,4548.7975,1227.05
803,2018/11/23 00:00:00,4759.012858130005,1224.2918333333314,4309.3375,1223.65
804,2018/11/24 00:00:00,4345.804517529996,1220.6200000000006,4352.98,
805,2018/11/25 00:00:00,3981.9143562900044,1223.533999999999,3823.511667,
806,2018/11/26 00:00:00,3837.906283340004,1223.533999999999,3920.536667,1223.4
807,2018/11/27 00:00:00,3820.677199999995,1223.533999999999,3793.35,1221.2
808,2018/11/28 00:00:00,3953.108558109994,1220.0459999999998,4103.453846,1213.25
809,2018/11/29 00:00:00,4215.96196645001,1221.2810000000004,4263.783333,1226.25
810,2018/11/30 00:00:00,4233.218024870005,1224.948000000001,4278.77,1217.55
811,2018/12/01 00:00:00,4169.974265540001,1225.2335833333334,4116.7775,
812,2018/12/02 00:00:00,4149.349200199996,1236.0275833333349,4167.546667,
813,2018/12/03 00:00:00,4376.757735040004,1236.0275833333349,4140.6,1230.3
814,2018/12/04 00:00:00,3963.2158331299997,1236.0275833333349,3961.493333,1240.3
815,2018/12/05 00:00:00,3587.1323976700023,1236.9954999999982,3858.349167,1235.9
816,2018/12/06 00:00:00,3811.886058429998,1237.9110000000019,3744.98,1242.55
817,2018/12/07 00:00:00,3551.902949700004,1245.4010000000019,3405.643333,1243.3
818,2018/12/08 00:00:00,3440.551500000003,1243.8995000000016,3435.34,
819,2018/12/09 00:00:00,3443.2269,1246.3750000000005,3453.66,
820,2018/12/10 00:00:00,3502.774189510004,1246.3750000000005,3523.96,1245.35
821,2018/12/11 00:00:00,3474.383525,1246.3750000000005,3426.19,1245.3
822,2018/12/12 00:00:00,3430.186800000004,1246.2700000000004,3407.28,1245.75
823,2018/12/13 00:00:00,3419.4791000000037,1245.2175,3406.7625,1242.75
824,2018/12/14 00:00:00,3425.5369000000037,1239.8130000000015,3278.374167,1235.35
825,2018/12/15 00:00:00,3332.631060360005,1239.7909999999995,3242.42,
826,2018/12/16 00:00:00,3278.6928353499966,1245.1715000000022,3271.238333,
827,2018/12/17 00:00:00,3332.631060360005,1245.1715000000022,3392.405,1241.65
828,2018/12/18 00:00:00,3516.488066669999,1245.1715000000022,3556.54,1246.3
829,2018/12/19 00:00:00,3653.461074999999,1251.1234999999995,3808.0425,1255.0
830,2018/12/20 00:00:00,3936.9620248299952,1255.6971666666652,3982.850833,1259.75
831,2018/12/21 00:00:00,4127.506600000002,1256.6734999999985,4135.19,1258.15
832,2018/12/22 00:00:00,3904.3970999900075,1266.3010000000017,3910.973333,
833,2018/12/23 00:00:00,3850.2922999999973,1271.1764999999994,4027.478333,
834,2018/12/24 00:00:00,4037.2842749000056,1271.1764999999994,3995.17,
835,2018/12/25 00:00:00,3866.142500000003,1271.1764999999994,3813.88,
836,2018/12/26 00:00:00,3869.24920845,1271.1764999999994,3825.379167,
837,2018/12/27 00:00:00,3838.1532916700035,1271.1764999999994,3848.21,1268.0
838,2018/12/28 00:00:00,3783.910050000006,1271.1764999999994,3743.905,1279.0
839,2018/12/29 00:00:00,3774.825649699998,1283.179000000001,3912.285833,
840,2018/12/30 00:00:00,3790.5466999999935,1286.5644999999981,3770.36,
841,2018/12/31 00:00:00,3823.9189999899986,1286.5644999999981,3791.545833,
842,2019/01/01 00:00:00,3904.190808309996,1286.5644999999981,3752.271667,
843,2019/01/02 00:00:00,3622.1564665400056,1286.5644999999981,3855.88,1282.9
844,2019/01/03 00:00:00,3865.3639750799957,1286.5644999999981,3865.7975,1290.45
845,2019/01/04 00:00:00,3981.2541668600047,1285.0189999999982,3822.626667,1279.9
846,2019/01/05 00:00:00,3839.5851250700043,1290.520333333334,3856.62,
847,2019/01/06 00:00:00,3887.2276418800006,1288.259,3920.456667,
848,2019/01/07 00:00:00,3820.677199999995,1288.259,4036.093333,1292.2
849,2019/01/08 00:00:00,3991.8524582200025,1288.259,4032.25,1286.45
850,2019/01/09 00:00:00,3986.9311997100053,1281.901999999999,4034.138333,1288.6
851,2019/01/10 00:00:00,3910.8788497100036,1295.1439285714268,3812.585833,1291.9
852,2019/01/11 00:00:00,3869.24920845,1286.4980000000014,3646.25,1288.95
853,2019/01/12 00:00:00,3661.4789581899954,1294.6538583333333,3646.345833,
854,2019/01/13 00:00:00,3661.4789581899954,1289.2414999999996,3599.841667,
855,2019/01/14 00:00:00,3548.533400000005,1289.2414999999996,3531.96,1292.75
856,2019/01/15 00:00:00,3474.0115250000003,1289.2414999999996,3656.785,1294.4
857,2019/01/16 00:00:00,3673.4195523400017,1291.3430000000012,3621.270833,1292.3
858,2019/01/17 00:00:00,3642.657268999999,1288.4379999999999,3621.43,1290.7
859,2019/01/18 00:00:00,3642.657268999999,1286.0319999999983,3632.395,1284.2
860,2019/01/19 00:00:00,3627.784076,1280.2314999999996,3690.523333,
861,2019/01/20 00:00:00,3712.343133299996,1282.8605000000018,3703.98,
862,2019/01/21 00:00:00,3713.817233299996,1282.8605000000018,3548.4275,1279.55
863,2019/01/22 00:00:00,3529.8967249999987,1282.8605000000018,3540.02,1282.1
864,2019/01/23 00:00:00,3551.055824999999,1278.4730000000018,3587.35,1279.8
865,2019/01/24 00:00:00,3566.4489000000017,1290.457500000001,3566.4,1283.7
866,2019/01/25 00:00:00,3624.619575,1289.899999999999,3586.25,1293.9
867,2019/01/26 00:00:00,3566.4489000000017,1298.5094999999985,3577.79,
868,2019/01/27 00:00:00,3572.753924999996,1298.6940000000016,3576.3,
869,2019/01/28 00:00:00,3565.045924999998,1298.6940000000016,3554.5,1302.15
870,2019/01/29 00:00:00,3529.841724999998,1298.6940000000016,3448.58,1307.55
871,2019/01/30 00:00:00,3442.418599999999,1307.4324999999988,3421.6,1310.7
872,2019/01/31 00:00:00,3451.333100000003,1318.7440666666675,3470.0,1323.25
873,2019/02/01 00:00:00,3424.9379948700016,1321.0969999999995,3444.81,1318.7
874,2019/02/02 00:00:00,3462.8359999999993,1311.3939999999984,3475.33,
875,2019/02/03 00:00:00,3424.9379948700016,1311.4399999999982,3506.22,
876,2019/02/04 00:00:00,3451.42936317,1311.4399999999982,3456.02,1312.15
877,2019/02/05 00:00:00,3435.722816079999,1311.4399999999982,3452.35,1314.2
878,2019/02/06 00:00:00,3480.279263170004,1316.0234999999996,3467.34,1312.4
879,2019/02/07 00:00:00,3412.8138948700043,1311.7414999999996,3405.7,1310.0
880,2019/02/08 00:00:00,3425.5369000000037,1313.795500000001,3394.76,1314.85
881,2019/02/09 00:00:00,3514.9162999999994,1310.6666476190478,3661.08,
882,2019/02/10 00:00:00,3676.529135670002,1308.0590000000013,3664.38,
883,2019/02/11 00:00:00,3690.9144999899977,1308.0590000000013,3686.29,1306.4
884,2019/02/12 00:00:00,3687.0097332999944,1308.0590000000013,3629.47,1310.0
885,2019/02/13 00:00:00,3633.8768760000003,1313.795500000001,3632.42,1312.8
886,2019/02/14 00:00:00,3627.784076,1311.4664999999984,3614.5,1311.45
887,2019/02/15 00:00:00,3652.0885999999973,1311.4790000000014,3600.31,1316.55
888,2019/02/16 00:00:00,3583.603800000006,1323.7254999999998,3608.2,
889,2019/02/17 00:00:00,3592.2275000000054,1318.2239999999988,3619.55,
890,2019/02/18 00:00:00,3657.9952689999964,1318.2239999999988,3670.74,1325.5
891,2019/02/19 00:00:00,3835.845133299994,1318.2239999999988,3910.8,1334.15
892,2019/02/20 00:00:00,3850.2922999999973,1337.2209999999998,3926.53,1343.75
893,2019/02/21 00:00:00,3944.8482999999965,1346.707500000002,3987.18,1331.25
894,2019/02/22 00:00:00,4050.3765000000026,1330.3915000000013,3944.88,1329.05
895,2019/02/23 00:00:00,3963.067488909999,1338.507500000001,3983.48,
896,2019/02/24 00:00:00,4129.314699999998,1327.7305000000017,4139.6,
897,2019/02/25 00:00:00,3881.482433270006,1327.7305000000017,3766.89,1331.05
898,2019/02/26 00:00:00,3823.9189999899986,1327.7305000000017,3848.33,1325.05
899,2019/02/27 00:00:00,3818.928050000005,1318.5239999999988,3831.45,1322.85
900,2019/02/28 00:00:00,3828.4629499999996,1317.2187571428574,3833.23,1319.15
901,2019/03/01 00:00:00,3839.6827500000018,1321.5145000000007,3850.08,1311.95
902,2019/03/02 00:00:00,3828.2970000000005,1297.3469999999977,3834.62,
903,2019/03/03 00:00:00,3833.9043500000025,1293.9435000000008,3831.44,
904,2019/03/04 00:00:00,3821.0029500000023,1293.9435000000008,3814.58,1285.4
905,2019/03/05 00:00:00,3869.24920845,1293.9435000000008,3730.98,1283.8
906,2019/03/06 00:00:00,3822.9532748699985,1290.1754999999985,3872.25,1285.85
907,2019/03/07 00:00:00,4147.378577180008,1284.6581000000008,3876.85,1285.3
908,2019/03/08 00:00:00,3911.631506670004,1305.7385999999995,3886.82,1296.75
909,2019/03/09 00:00:00,3893.1266995000024,1297.1444999999994,3875.96,
910,2019/03/10 00:00:00,3912.706281170004,1289.2414999999996,3950.56,
911,2019/03/11 00:00:00,4001.5861455300033,1289.2414999999996,3928.17,1292.75
912,2019/03/12 00:00:00,3902.7508738300007,1289.2414999999996,3881.09,1297.05
913,2019/03/13 00:00:00,4079.190336499999,1303.5184999999988,3892.51,1306.95
914,2019/03/14 00:00:00,3808.884928999998,1299.0840000000014,3877.77,1295.55
915,2019/03/15 00:00:00,3910.923106670004,1307.221400000001,3885.21,1303.5
916,2019/03/16 00:00:00,3955.8568880000016,1293.286,3936.5,
917,2019/03/17 00:00:00,3988.9401883100018,1304.7324999999994,4015.95,
918,2019/03/18 00:00:00,4046.902283250005,1304.7324999999994,3994.92,1305.6
919,2019/03/19 00:00:00,3960.4364000000037,1304.7324999999994,3998.77,1307.7
920,2019/03/20 00:00:00,4010.419799999994,1307.818499999999,4029.11,1303.7
921,2019/03/21 00:00:00,4037.2842749000056,1297.9235,4056.4,1309.6
922,2019/03/22 00:00:00,4002.4105583200035,1310.493000000002,3992.34,1311.3
923,2019/03/23 00:00:00,3980.209900000001,1300.9676666666687,3999.06,
924,2019/03/24 00:00:00,4003.715699999998,1315.6195000000014,4011.92,
925,2019/03/25 00:00:00,4006.1258999999977,1315.6195000000014,3994.11,1319.55
926,2019/03/26 00:00:00,3946.819100000008,1315.6195000000014,3935.89,1316.3
927,2019/03/27 00:00:00,3964.384588309998,1323.8424999999997,3947.74,1309.7
928,2019/03/28 00:00:00,4014.830445530003,1310.493000000002,4048.51,1295.15
929,2019/03/29 00:00:00,4018.1710583199992,1294.2844999999982,4037.37,1295.4
930,2019/03/30 00:00:00,3991.8524582200025,1299.6003333333338,4115.55,
931,2019/03/31 00:00:00,4127.57546673,1292.8229999999996,4114.44,
932,2019/04/01 00:00:00,4141.7016666800055,1292.8229999999996,4114.16,1293.5
933,2019/04/02 00:00:00,4141.7016666800055,1292.8229999999996,4152.53,1290.3
934,2019/04/03 00:00:00,4472.148266570001,1292.0140000000004,4882.88,1290.45
935,2019/04/04 00:00:00,4939.219069899995,1285.0189999999982,4959.81,1283.15
936,2019/04/05 00:00:00,4913.796246399993,1283.4169999999979,4911.24,1288.45
937,2019/04/06 00:00:00,4755.345965949993,1300.8233035714286,5028.77,
938,2019/04/07 00:00:00,5129.111800000004,1298.4285000000004,5053.52,
939,2019/04/08 00:00:00,5180.569700000009,1298.4285000000004,5189.39,1300.0
940,2019/04/09 00:00:00,5266.169300000001,1298.4285000000004,5268.71,1303.0
941,2019/04/10 00:00:00,5224.941699999997,1296.4929999999995,5175.81,1305.45
942,2019/04/11 00:00:00,5310.859200000002,1301.617500000001,5310.18,1298.8
943,2019/04/12 00:00:00,5059.676000000004,1294.3525000000006,5035.02,1294.3
944,2019/04/13 00:00:00,5172.773800000007,1289.0149999999994,5072.85,
945,2019/04/14 00:00:00,5166.186500000008,1293.9215000000008,5064.62,
946,2019/04/15 00:00:00,5166.186500000008,1293.9215000000008,5152.51,1285.65
947,2019/04/16 00:00:00,5153.405399999998,1293.9215000000008,5036.18,1276.35
948,2019/04/17 00:00:00,5172.773800000007,1275.5630000000008,5196.65,1275.85
949,2019/04/18 00:00:00,5238.634499999998,1275.2444999999987,5220.37,1275.7
950,2019/04/19 00:00:00,5240.1583999999975,1273.7825,5276.31,
951,2019/04/20 00:00:00,5282.6312999999955,1269.0416166666653,5277.04,
952,2019/04/21 00:00:00,5294.237700000006,1269.0416166666653,5309.28,
953,2019/04/22 00:00:00,5161.136800000004,1269.0416166666653,5281.83,
954,2019/04/23 00:00:00,5296.872999999998,1269.0416166666653,5377.19,1269.5
955,2019/04/24 00:00:00,5374.437999999992,1269.0416166666653,5518.16,1271.65
956,2019/04/25 00:00:00,5617.27735664,1275.2780000000005,5434.19,1280.8
957,2019/04/26 00:00:00,5261.41449999999,1280.9065000000019,5195.61,1284.2
958,2019/04/27 00:00:00,5266.169300000001,1280.2314999999996,5292.83,
959,2019/04/28 00:00:00,5222.386700000002,1282.936500000002,5280.19,
960,2019/04/29 00:00:00,5296.293999999998,1282.936500000002,5301.29,1279.5
961,2019/04/30 00:00:00,5124.607600000003,1282.936500000002,5260.65,1282.3
962,2019/05/01 00:00:00,5260.984399999992,1277.1135000000015,5269.79,1283.8
963,2019/05/02 00:00:00,5292.828699999995,1290.1754999999985,5326.67,1270.95
964,2019/05/03 00:00:00,5293.706999999994,1278.6650000000006,5390.16,1278.55
965,2019/05/04 00:00:00,5325.800499999992,1288.0064999999981,5657.14,
966,2019/05/05 00:00:00,5796.42230425,1275.6234999999988,5771.08,
967,2019/05/06 00:00:00,5923.199758799989,1275.6234999999988,5717.66,
968,2019/05/07 00:00:00,5685.3006231999925,1275.6234999999988,5684.47,1281.2
969,2019/05/08 00:00:00,5768.848534429991,1275.6234999999988,5755.72,1285.2
970,2019/05/09 00:00:00,5872.523217599989,1295.003500000001,5936.72,1286.1
